"Key","SourceString","Context","VariableDescription","Type","Tag"
"GamepadHints/Blueprints/Apply","Apply","","","UI","#gamepads"
"GamepadHints/Blueprints/ApplyChanges","Apply Changes","","","UI","#gamepads"
"GamepadHints/Blueprints/BlueprintEdit","Edit","","","UI","#gamepads"
"GamepadHints/Blueprints/BlueprintLoad","Load","","","UI","#gamepads"
"GamepadHints/Blueprints/BlueprintRemove","Remove","","","UI","#gamepads"
"GamepadHints/Blueprints/BlueprintSave","Save","","","UI","#gamepads"
"GamepadHints/Blueprints/BlueprintSelect","Select","","","UI","#gamepads"
"GamepadHints/Blueprints/CategoryEdit","Edit","","","UI","#gamepads"
"GamepadHints/Blueprints/CategoryRearrange","Rearrange","","","UI","#gamepads"
"GamepadHints/Blueprints/CategoryRemove","Remove","","","UI","#gamepads"
"GamepadHints/Blueprints/CategorySelect","Select","","","UI","#gamepads"
"GamepadHints/Blueprints/ClearDesigner","Clear Designer","","","UI","#gamepads"
"GamepadHints/Blueprints/EditMode","Edit Mode","","","UI","#gamepads"
"GamepadHints/Blueprints/Filters","Filters","","","UI","#gamepads"
"GamepadHints/Blueprints/FocusCostArea","Cost Area","","","UI","#gamepads"
"GamepadHints/Blueprints/Rearrange","Rearrange","","","UI","#gamepads"
"GamepadHints/Blueprints/Search","Search","","","UI","#gamepads"
"GamepadHints/Blueprints/SubcategoryEdit","Edit","","","UI","#gamepads"
"GamepadHints/Blueprints/SubcategoryRearrange","Rearrange","","","UI","#gamepads"
"GamepadHints/Blueprints/SubcategoryRemove","Remove","","","UI","#gamepads"
"GamepadHints/Build/Build","Build","","","UI","#gamepads"
"GamepadHints/Build/HologramLock","Lock Hologram","","","UI","#gamepads"
"GamepadHints/Build/HologramUnlock","Unlock Hologram","","","UI","#gamepads"
"GamepadHints/Build/Nudge","Nudge","","","UI","#gamepads"
"GamepadHints/Build/Rotate","Rotate","","","UI","#gamepads"
"GamepadHints/Build/Sample","Sample","","","UI","#gamepads"
"GamepadHints/Build/ShowHUD","Show HUD","","","UI","#gamepads"
"GamepadHints/Build/Snapping","Snapping","","","UI","#gamepads"
"GamepadHints/Build/ToggleBuildMode","Toggle Build Mode","","","UI","#gamepads"
"GamepadHints/BuildMenu/CostItems","Cost Items","","","UI","#gamepads"
"GamepadHints/BuildMenu/EditMode","Edit Mode","","","UI","#gamepads"
"GamepadHints/BuildMenu/Filters","Filters","","","UI","#gamepads"
"GamepadHints/BuildMenu/OpenMenu","Actions","","","UI","#gamepads"
"GamepadHints/BuildMenu/Search","Search","","","UI","#gamepads"
"GamepadHints/BuildMenu/ShortcutPlace","Place Shortcut","","","UI","#gamepads"
"GamepadHints/CharCustomizer/RevertChanges","Revert","","","UI","#gamepads"
"GamepadHints/CharCustomizer/Rotate","Rotate","","","UI","#gamepads"
"GamepadHints/CharCustomizer/Select","Select","","","UI","#gamepads"
"GamepadHints/CharCustomizer/Zoom","Zoom","","","UI","#gamepads"
"GamepadHints/Colors/ColorPickerColorSelect","Select Color","","","UI","#gamepads"
"GamepadHints/Customization/ColorEdit","Edit Color","","","UI","#gamepads"
"GamepadHints/Customization/ColorPickerPresetSave","Save Preset","","","UI","#gamepads"
"GamepadHints/Customization/Select","Select","","","UI","#gamepads"
"GamepadHints/Customization/SwatchList","Swatch List","","","UI","#gamepads"
"GamepadHints/Dismantle/Dismantle","Dismantle","","","UI","#gamepads"
"GamepadHints/Dismantle/DismantleFilter","Dismantle Filter","","","UI","#gamepads"
"GamepadHints/Dismantle/HoldToUnlockHologram","Unlock Hologram (Hold)","","","UI","#gamepads"
"GamepadHints/Dismantle/MassDismantle","Mass Dismantle","","","UI","#gamepads"
"GamepadHints/Dismantle/SampleBuilding","Sample Building","","","UI","#gamepads"
"GamepadHints/Dismantle/ToggleDismantleMode","Toggle Dismantle Mode","","","UI","#gamepads"
"GamepadHints/DropPod/OpenHatch","Open Hatch","","","UI","#gamepads"
"GamepadHints/Handheld/Holster","Holster","","","UI","#gamepads"
"GamepadHints/Handheld/Holstered","Holstered","","","UI","#gamepads"
"GamepadHints/Handheld/Unholster","Unholster","","","UI","#gamepads"
"GamepadHints/HardDrive/RecipeCollapse","Collapse Recipe","","","UI","#gamepads"
"GamepadHints/HardDrive/RecipeExpand","Expand Recipe","","","UI","#gamepads"
"GamepadHints/Hotbar/BarNext","Next Bar","","","UI","#gamepads"
"GamepadHints/Hotbar/BarPrevious","Previous Bar","","","UI","#gamepads"
"GamepadHints/Hotbar/Place","Place","Place [Shortcut]","","UI","#gamepads"
"GamepadHints/Hotbar/PlaceShortcut","Place Shortcut","","","UI","#gamepads"
"GamepadHints/Hub/ChangeTierLeft","Change Tier Left","","","UI","#gamepads"
"GamepadHints/Hub/ChangeTierRight","Change Tier Right","","","UI","#gamepads"
"GamepadHints/Hub/Components","Components","","","UI","#gamepads"
"GamepadHints/Hub/Cost","Cost Area","","","UI","#gamepads"
"GamepadHints/Hub/OpenCost","Cost Area","","","UI","#gamepads"
"GamepadHints/Hub/SelectMilestone","Select Milestone","","","UI","#gamepads"
"GamepadHints/Inventory/Delete","Delete","","","UI","#gamepads"
"GamepadHints/Inventory/Drop","Drop","","","UI","#gamepads"
"GamepadHints/Inventory/DropStack","Drop Stack","","","UI","#gamepads"
"GamepadHints/Inventory/Equip","Equip","","","UI","#gamepads"
"GamepadHints/Inventory/Pin","Pin","","","UI","#gamepads"
"GamepadHints/Inventory/Select","Select","","","UI","#gamepads"
"GamepadHints/Inventory/SlotActions","Actions","","","UI","#gamepads"
"GamepadHints/Inventory/Split","Split","","","UI","#gamepads"
"GamepadHints/Inventory/SplitCustom","Split Custom","","","UI","#gamepads"
"GamepadHints/Inventory/SplitStack","Split Stack","","","UI","#gamepads"
"GamepadHints/Inventory/StorageDownload","Download","","","UI","#gamepads"
"GamepadHints/Inventory/StorageUpload","Upload","","","UI","#gamepads"
"GamepadHints/Inventory/TakeAll","Take All","","","UI","#gamepads"
"GamepadHints/Inventory/Transfer","Transfer","","","UI","#gamepads"
"GamepadHints/Inventory/TransferAllOfType","Transfer All of Type","","","UI","#gamepads"
"GamepadHints/Inventory/TransferAllStacksOfType","Transfer All of Type","","","UI","#gamepads"
"GamepadHints/Inventory/TransferStack","Transfer Stack","","","UI","#gamepads"
"GamepadHints/Inventory/Unequip","Unequip","","","UI","#gamepads"
"GamepadHints/JoinGame/Refresh","Refresh","","","",""
"GamepadHints/Lights/Select","Select","","","UI","#gamepads"
"GamepadHints/Lights/Toggle","Toggle","","","UI","#gamepads"
"GamepadHints/MAM/Select","Select","","","UI","#gamepads"
"GamepadHints/Manufacturing/ClockSpeed","Clock Speed","","","UI","#gamepads"
"GamepadHints/Manufacturing/CraftingStop","Stop Crafting","","","UI","#gamepads"
"GamepadHints/Manufacturing/Details","Details","","","UI","#gamepads"
"GamepadHints/Manufacturing/RecipesShowAll","Show All","","","UI","#gamepads"
"GamepadHints/Manufacturing/RecipesShowInaffordable","Show Inaffordable","","","UI","#gamepads"
"GamepadHints/Manufacturing/Search","Search","","","UI","#gamepads"
"GamepadHints/Map/AccessMenu","Access Menu","","","UI","#gamepads"
"GamepadHints/Map/CenterMap","Center on Player","","","UI","#gamepads"
"GamepadHints/Map/CreateNewMarker","Create New Marker","","","UI","#gamepads"
"GamepadHints/Map/CreateStamp","Create Stamp","","","UI","#gamepads"
"GamepadHints/Map/EditMarkerStamp","Edit Marker/Stamp","","","UI","#gamepads"
"GamepadHints/Map/HideOnCompass","Hide on Compass","","","UI","#gamepads"
"GamepadHints/Map/HideOnMap","Hide on Map","","","UI","#gamepads"
"GamepadHints/Map/HideStamps","Hide Stamps","","","UI","#gamepads"
"GamepadHints/Map/HighlightAllMarkersInCategory","Highlight All Markers in Category","Menu for adding and customizing map markers. Used to mark places of interests on the map","","UI","#gamepads"
"GamepadHints/Map/InputCoordinates","Input Coordinates","","","UI","#gamepads"
"GamepadHints/Map/LeaveStampMode","Leave Stamp Mode","","","UI","#gamepads"
"GamepadHints/Map/PingLocation","Ping Location","","","UI","#gamepads"
"GamepadHints/Map/Search","Search","","","UI","#gamepads"
"GamepadHints/Map/ShowOnMap","Show on Map","","","UI","#gamepads"
"GamepadHints/Map/ShowStamps","Show Stamps","","","UI","#gamepads"
"GamepadHints/Map/Stamp","Stamp","","","UI","#gamepads"
"GamepadHints/Map/Zoom","Zoom","","","UI","#gamepads"
"GamepadHints/Menus/PlayerManage","Manage Player","","","UI","#gamepads"
"GamepadHints/Menus/PlayerViewProfile","View Profile","","","UI","#gamepads"
"GamepadHints/Menus/TabNext","Next Tab","","","UI","#gamepads"
"GamepadHints/Menus/TabPrevious","Previous Tab","","","UI","#gamepads"
"GamepadHints/Messages/Audio/FullView","Full View","","","UI","#gamepads"
"GamepadHints/Messages/Audio/Minimize","Minimize","","","UI","#gamepads"
"GamepadHints/Messages/Audio/Skip","Skip","","","UI","#gamepads"
"GamepadHints/Messages/PlayFile","Play File","","","UI","#gamepads"
"GamepadHints/Options/Activate","Activate","","","UI","#gamepads"
"GamepadHints/Options/Apply","Apply","","","UI","#gamepads"
"GamepadHints/Options/Checkbox/Toggle","Toggle","","","UI","#gamepads"
"GamepadHints/Options/ColorReset","Reset Color","","","UI","#gamepads"
"GamepadHints/Options/ColorSelect","Select Color","","","UI","#gamepads"
"GamepadHints/Options/HideSupOptions","Hide Sub Options","","","UI","#gamepads"
"GamepadHints/Options/ResetValue","Reset Value","","","UI","#gamepads"
"GamepadHints/Options/ShowSubOptions","Show Sub Options","","","UI","#gamepads"
"GamepadHints/Options/Slider/SetValue","Set Value","","","UI","#gamepads"
"GamepadHints/Overclock/ClockSpeedAdjust","Clock Speed","","","UI","#gamepads"
"GamepadHints/Overclock/PowerShardAdd","Add Power Shard","","","UI","#gamepads"
"GamepadHints/Overclock/PowerShardRemove","Remove Power Shard","","","UI","#gamepads"
"GamepadHints/Overclock/Release","Release","","","UI","#gamepads"
"GamepadHints/Overclock/SomersloopAdd","Add Somersloop","","","UI","#gamepads"
"GamepadHints/Overclock/SomersloopRemove","Remove Somersloop","","","UI","#gamepads"
"GamepadHints/Photo/Exit","Exit","","","UI","#gamepads"
"GamepadHints/Photo/FOVDecrease","Decrease FOV","","","UI","#gamepads"
"GamepadHints/Photo/FOVIncrease","Increase FOV","","","UI","#gamepads"
"GamepadHints/Photo/HiResOff","Hi-Res On","","","UI","#gamepads"
"GamepadHints/Photo/HiResOn","Hi-Res Off","","","UI","#gamepads"
"GamepadHints/Photo/TakePhoto","Take Photo","","","UI","#gamepads"
"GamepadHints/Photo/ToggleInstructions","Toggle Instructions","","","UI","#gamepads"
"GamepadHints/Pipelines/AdjustLimit","Adjust Limit","","","UI","#gamepads"
"GamepadHints/Pipelines/Select","Select","","","UI","#gamepads"
"GamepadHints/Power/SwitchPiority/GroupOff","Group Off","","","UI","#gamepads"
"GamepadHints/Power/SwitchPiority/GroupOn","Group On","","","UI","#gamepads"
"GamepadHints/Power/SwitchPiority/Off","Off","","","UI","#gamepads"
"GamepadHints/Power/SwitchPiority/On","On","","","UI","#gamepads"
"GamepadHints/Power/SwitchPriority/Drag","Drag","","","UI","#gamepads"
"GamepadHints/Power/SwitchPriority/DragCancel","Cancel Drag","","","UI","#gamepads"
"GamepadHints/Power/SwitchPriority/Drop","Drop","","","UI","#gamepads"
"GamepadHints/ProjectAssembly/PullLever","Pull Lever","","","UI","#gamepads"
"GamepadHints/ProjectAssembly/Push","Push","","","UI","#gamepads"
"GamepadHints/ProjectAssembly/Slider","Slider","","","UI","#gamepads"
"GamepadHints/ProjectAssembly/TurnKnob","Turn","","","UI","#gamepads"
"GamepadHints/Recipes/Actions","Actions","","","UI","#gamepads"
"GamepadHints/Recipes/ScrollView","Scroll View","","","UI","#gamepads"
"GamepadHints/Recipes/Select","Select","","","UI","#gamepads"
"GamepadHints/ResourceSink/Select","Select","","","UI","#gamepads"
"GamepadHints/Saves/DeleteSave","Delete Save","","","UI","#gamepads"
"GamepadHints/Sessions/DeleteSession","Delete Session","","","UI","#gamepads"
"GamepadHints/Sessions/Select","Select","","","UI","#gamepads"
"GamepadHints/Signs/ElementSettings","Element Settings","","","UI","#gamepads"
"GamepadHints/Signs/LayoutSettings","Layout Settings","","","UI","#gamepads"
"GamepadHints/Signs/RevertToDefault","Revert to Default","","","UI","#gamepads"
"GamepadHints/SpaceElevator/FocusCostItems","Cost Area","","","UI","#gamepads"
"GamepadHints/SpaceElevator/FocusInventory","Focus Inventory","","","UI","#gamepads"
"GamepadHints/SpaceElevator/PullLever","Pull Lever","","","UI","#gamepads"
"GamepadHints/Splitter/Select","Select","","","UI","#gamepads"
"GamepadHints/ToDo/ClearList","Clear List","","","UI","#gamepads"
"GamepadHints/ToDo/EnterText","Enter Text","","","UI","#gamepads"
"GamepadHints/ToDo/RemoveAdd","Remove/Add","","","UI","#gamepads"
"GamepadHints/ToDo/ToggleTooltip","Tooltip","","","UI","#gamepads"
"GamepadHints/Vehicles/Drones/ChangePortName","Change Port Name","","","UI","#gamepads"
"GamepadHints/Vehicles/Drones/ShowInfo","Show Info","","","UI","#gamepads"
"GamepadHints/Vehicles/LeaveVehicle","Leave Vehicle","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/AddToTimetable","Add to Timetable","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/Forward","Forward","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/NavigateMap","Navigate Map","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/OpenTrainMenu","Open Train Menu","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/Reverse","Reverse","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/Search","Search","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/StopDeleteHighlighted","Delete Highlighted Stop","","","UI","#gamepads"
"GamepadHints/Vehicles/Trains/StopEdit","Edit Stop","","","UI","#gamepads"
"GamepadHints/aCommon/AreaNavigation","Switch Area","","","UI","#gamepads"
"GamepadHints/aCommon/Back","Back","","","UI","#gamepads"
"GamepadHints/aCommon/Cancel","Cancel","","","UI","#gamepads"
"GamepadHints/aCommon/Close","Close","","","UI","#gamepads"
"GamepadHints/aCommon/CloseMenu","Close","","","UI","#gamepads"
"GamepadHints/aCommon/Comboboxes/Select","Select","","","UI","#gamepads"
"GamepadHints/aCommon/Flashlight","Flashlight","","","UI","#gamepads"
"GamepadHints/aCommon/Options/Reset","Reset","","","UI","#gamepads"
"GamepadHints/aCommon/PowerGraphPanelContract","Contract","","","UI","#gamepads"
"GamepadHints/aCommon/PowerGraphPanelExpand","Expand","","","UI","#gamepads"
"GamepadHints/aCommon/SettingsCopy","Copy Settings","","","UI","#gamepads"
"GamepadHints/aCommon/SettingsCopyPaste","Copy/Paste Settings","","","UI","#gamepads"
"GamepadHints/aCommon/SettingsPaste","Paste Settings","","","UI","#gamepads"
"GamepadHints/aCommon/ShowTooltip","Show Tooltip","","","UI","#gamepads"
"GamepadHints/aCommon/Sort","Sort","","","UI","#gamepads"
"GamepadHints/aCommon/Standby","Standby","","","UI","#gamepads"
"GamepadHints/aCommon/SupportedFuel","Supported Fuel","","","UI","#gamepads"
"GamepadHints/aCommon/ViewInCodex","View in Codex","","","UI","#gamepads"
"UI/GamepadsHints/HoldPrefixParentheses","(Hold)","This appears as a separate UI element in front of the controller button image in GamepadHints: `(Hold) Ⓐ` if the need to be held to trigger the action","","UI","#gamepads"
"UI/GamepadsMappings/HoldPrefixColon","Hold:","Used in `UI/GamepadsMappings/MappingPattern` as {Variant}","","UI","#gamepads"
"UI/GamepadsMappings/LongPressPrefixColon","Long Press:","Used in `UI/GamepadsMappings/MappingPattern` as {Variant}","","UI","#gamepads"
"UI/GamepadsMappings/MappingPattern","<Orange16Bold>{Variant}</> <White16Reg>{Display Name}</>","This is used to create each line of a keybinding hint, displayed next to a controller button on the controller mappings screen, any leading or trailing whitespace is trimmed
E.g., it could be used to create two lines like this (where [X] is an image of a controller button):
[X] Jump
Hold: [X] Fly","{Variant} = `UI/ControllerMappings/HoldPrefixColon` or `UI/ControllerMappings/LongPressPrefixColon` or empty string
{Display Name} = Name of the action (e.g., Build Menu, Jump, Quick Search, etc)","UI","#gamepads"
